,COUNTY,JUDGES
300,"Superior Court of California, County of Los Angeles",Hon. Kevin L. Brown
301,"Superior Court of California, County of Los Angeles",Hon. Leslie E. Brown
302,"Superior Court of California, County of Los Angeles",Hon. Susan Bryant-Deason
303,"Superior Court of California, County of Los Angeles",Hon. Daniel J. Buckley
304,"Superior Court of California, County of Los Angeles","Hon. Richard J. Burdge, Jr."
305,"Superior Court of California, County of Los Angeles",Hon. Christine W. Byrd
306,"Superior Court of California, County of Los Angeles",Hon. Rupert A. Byrdsong
307,"Superior Court of California, County of Los Angeles",Hon. Mike Camacho
308,"Superior Court of California, County of Los Angeles",Hon. Amy N. Carter
309,"Superior Court of California, County of Los Angeles",Hon. Michael D. Carter
310,"Superior Court of California, County of Los Angeles",Hon. James C. Chalfant
311,"Superior Court of California, County of Los Angeles",Hon. Wendy W. Y. Chang
312,"Superior Court of California, County of Los Angeles",Hon. Victor E. Chavez
313,"Superior Court of California, County of Los Angeles",Hon. John Joseph Cheroske
314,"Superior Court of California, County of Los Angeles",Hon. Lawrence Cho
315,"Superior Court of California, County of Los Angeles",Hon. Ashfaq G. Chowdhury
316,"Superior Court of California, County of Los Angeles",Hon. Deborah L. Christian
317,"Superior Court of California, County of Los Angeles",Hon. Joan M. Chrostek
318,"Superior Court of California, County of Los Angeles",Hon. Robert G. Chu
319,"Superior Court of California, County of Los Angeles",Hon. Charles (Carlos) Chung
320,"Superior Court of California, County of Los Angeles",Hon. Lisa Mangay Chung
321,"Superior Court of California, County of Los Angeles","Hon. Edmund Willcox Clarke, Jr."
322,"Superior Court of California, County of Los Angeles",Hon. Charles Q. Clay III
323,"Superior Court of California, County of Los Angeles",Hon. Suzette Clover
324,"Superior Court of California, County of Los Angeles",Hon. Steve Cochran
325,"Superior Court of California, County of Los Angeles",Hon. Ronald S. Coen
326,"Superior Court of California, County of Los Angeles",Hon. Sean D. Coen
327,"Superior Court of California, County of Los Angeles",Hon. Jeffrey S. Cohen-Laurie
328,"Superior Court of California, County of Los Angeles",Hon. Debra A. Cole
329,"Superior Court of California, County of Los Angeles",Hon. Lisa Hart Cole
330,"Superior Court of California, County of Los Angeles",Hon. Debra Cole-Hall
331,"Superior Court of California, County of Los Angeles",Hon. Patrick Connolly
332,"Superior Court of California, County of Los Angeles",Hon. Michael J. Convey
333,"Superior Court of California, County of Los Angeles",Hon. Andrew E. Cooper
334,"Superior Court of California, County of Los Angeles",Hon. Annabelle G. Cortez
335,"Superior Court of California, County of Los Angeles","Hon. Huey P. Cotton, Jr."
336,"Superior Court of California, County of Los Angeles",Hon. Michelle Williams Court
337,"Superior Court of California, County of Los Angeles",Hon. David J. Cowan
338,"Superior Court of California, County of Los Angeles",Hon. Michael A. Cowell
339,"Superior Court of California, County of Los Angeles",Hon. William A. Crowfoot
340,"Superior Court of California, County of Los Angeles",Hon. Daniel M. Crowley
341,"Superior Court of California, County of Los Angeles","Hon. David S. Cunningham, III"
342,"Superior Court of California, County of Los Angeles",Hon. Brian S. Currey
343,"Superior Court of California, County of Los Angeles",Hon. J. Stephen Czuleger
344,"Superior Court of California, County of Los Angeles",Hon. James R. Dabney
345,"Superior Court of California, County of Los Angeles",Hon. Maria Andrea Davalos
346,"Superior Court of California, County of Los Angeles",Hon. Susan J. De Witt
347,"Superior Court of California, County of Los Angeles",Hon. Roy G. Delgado
348,"Superior Court of California, County of Los Angeles",Hon. Rudolph A. Diaz
349,"Superior Court of California, County of Los Angeles",Hon. Timothy P. Dillon
350,"Superior Court of California, County of Los Angeles",Hon. Gregory A. Dohi
351,"Superior Court of California, County of Los Angeles",Hon. Juan Carlos Dominguez
352,"Superior Court of California, County of Los Angeles",Hon. Firdaus F. Dordi
353,"Superior Court of California, County of Los Angeles",Hon. Marguerite D. Downing
354,"Superior Court of California, County of Los Angeles",Hon. John P. Doyle
355,"Superior Court of California, County of Los Angeles",Hon. Robert S. Draper
356,"Superior Court of California, County of Los Angeles",Hon. Maureen Duffy-Lewis
357,"Superior Court of California, County of Los Angeles",Hon. James R. Dunn
358,"Superior Court of California, County of Los Angeles",Hon. Christopher W. Dybwad
359,"Superior Court of California, County of Los Angeles",Hon. Diego H Edber
360,"Superior Court of California, County of Los Angeles",Hon. Drew E. Edwards
361,"Superior Court of California, County of Los Angeles",Hon. Laura C. Ellison
362,"Superior Court of California, County of Los Angeles",Hon. Carol Williams Elswick
363,"Superior Court of California, County of Los Angeles",Hon. Mark H. Epstein
364,"Superior Court of California, County of Los Angeles",Hon. Kristin S. Escalante
365,"Superior Court of California, County of Los Angeles",Hon. Mildred Escobedo
366,"Superior Court of California, County of Los Angeles",Hon. Miguel T. Espinoza
367,"Superior Court of California, County of Los Angeles",Hon. Christopher G. Estes
368,"Superior Court of California, County of Los Angeles",Hon. Alison M. Estrada
369,"Superior Court of California, County of Los Angeles",Hon. William F. Fahey
370,"Superior Court of California, County of Los Angeles",Hon. Thomas C. Falls
371,"Superior Court of California, County of Los Angeles",Hon. Jill T. Feeney
372,"Superior Court of California, County of Los Angeles",Hon. Elizabeth R. Feffer
373,"Superior Court of California, County of Los Angeles",Hon. Daniel B. Feldstern
374,"Superior Court of California, County of Los Angeles",Hon. Edward A. Ferns
375,"Superior Court of California, County of Los Angeles",Hon. Gary J. Ferrari
376,"Superior Court of California, County of Los Angeles",Hon. Larry P. Fidler
377,"Superior Court of California, County of Los Angeles",Hon. David R. Fields
378,"Superior Court of California, County of Los Angeles",Hon. Kelvin D. Filer
