,State,County,Cases,Deaths,Date_of_minig
555,IL,Richland County,<20,0,2020-04-30
556,CO,Adams County,1430,61,2020-04-30
557,IN,Starke County,<20,<20,2020-04-30
558,AR,Mississippi County,<20,0,2020-04-30
559,IA,Washington County,138,<20,2020-04-30
560,IN,Wabash County,28,<20,2020-04-30
561,FL,Lake County,226,<20,2020-04-30
562,IN,Warren County,<20,<20,2020-04-30
563,KY,Statewide Unallocated,49,0,2020-04-30
564,AK,Prince of Wales-Hyder Census Area,<20,0,2020-04-30
565,AR,Pope County,42,0,2020-04-30
566,FL,Osceola County,474,<20,2020-04-30
567,GA,Wilcox County,89,<20,2020-04-30
568,CO,Lincoln County,<20,0,2020-04-30
569,GA,Newton County,181,<20,2020-04-30
570,AR,St. Francis County,82,0,2020-04-30
571,AZ,Statewide Unallocated,0,0,2020-04-30
572,ID,Adams County,<20,0,2020-04-30
573,IL,Clark County,<20,0,2020-04-30
574,CA,Trinity County,0,0,2020-04-30
575,FL,Gulf County,<20,0,2020-04-30
576,AR,Washington County,77,<20,2020-04-30
577,CO,Pueblo County,136,<20,2020-04-30
578,ID,Boise County,0,0,2020-04-30
579,GA,Brantley County,22,<20,2020-04-30
580,IN,Rush County,31,<20,2020-04-30
581,ID,Caribou County,<20,0,2020-04-30
582,ID,Clark County,0,0,2020-04-30
583,AR,Lincoln County,755,0,2020-04-30
584,GA,Jeff Davis County,<20,<20,2020-04-30
585,IA,Warren County,20,0,2020-04-30
586,IA,Hardin County,<20,0,2020-04-30
587,GA,Butts County,129,<20,2020-04-30
588,KY,Adair County,79,<20,2020-04-30
589,IA,Howard County,<20,0,2020-04-30
590,CT,Statewide Unallocated,491,<20,2020-04-30
591,KS,Kingman County,0,0,2020-04-30
592,IA,Audubon County,<20,0,2020-04-30
593,KS,Butler County,<20,0,2020-04-30
594,IL,Wabash County,<20,0,2020-04-30
595,IN,Monroe County,122,<20,2020-04-30
